26-05-17 15:22:28.225 [main] INFO  c.t.f.F1JournalAppApplication - Starting F1JournalAppApplication using Java 17.0.16 with PID 12440 (D:\1 Local Disk  E\java Spring Core & SpringBoot\s2_Spring Boot\f1_journalApp\target\classes started by Admin in D:\1 Local Disk  E\java Spring Core & SpringBoot\s2_Spring Boot\f1_journalApp)
26-05-17 15:22:28.234 [main] DEBUG c.t.f.F1JournalAppApplication - Running with Spring Boot v3.5.13, Spring v6.2.17
26-05-17 15:22:28.239 [main] INFO  c.t.f.F1JournalAppApplication - The following 1 profile is active: "dev"
26-05-17 15:22:34.826 [cluster-ClusterId{value='6a098fe2ae311581d077e162', description='null'}-srv-cluster0.sxgtw1y.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017 to client view of cluster
26-05-17 15:22:34.840 [cluster-ClusterId{value='6a098fe2ae311581d077e162', description='null'}-srv-cluster0.sxgtw1y.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-maior3p-shard-00-02.sxgtw1y.mongodb.net:27017 to client view of cluster
26-05-17 15:22:35.864 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29979 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-maior3p-shard-00-00.sxgtw1y.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-maior3p-shard-00-02.sxgtw1y.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
26-05-17 15:22:36.442 [cluster-ClusterId{value='6a098fe2ae311581d077e162', description='null'}-ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=683685800, minRoundTripTimeNanos=0, setName='atlas-hlrcmd-shard-0', canonicalAddress=ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017, hosts=[ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017, ac-maior3p-shard-00-02.sxgtw1y.mongodb.net:27017, ac-maior3p-shard-00-00.sxgtw1y.mongodb.net:27017], passives=[], arbiters=[], primary='ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000063, setVersion=32, topologyVersion=TopologyVersion{processId=6a032de6c43fdd1c04e3f96e, counter=6}, lastWriteDate=Sun May 17 15:22:37 IST 2026, lastUpdateTimeNanos=146744866282400}
26-05-17 15:22:36.444 [cluster-ClusterId{value='6a098fe2ae311581d077e162', description='null'}-ac-maior3p-shard-00-02.sxgtw1y.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-maior3p-shard-00-02.sxgtw1y.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=685154200, minRoundTripTimeNanos=0, setName='atlas-hlrcmd-shard-0', canonicalAddress=ac-maior3p-shard-00-02.sxgtw1y.mongodb.net:27017, hosts=[ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017, ac-maior3p-shard-00-02.sxgtw1y.mongodb.net:27017, ac-maior3p-shard-00-00.sxgtw1y.mongodb.net:27017], passives=[], arbiters=[], primary='ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=32, topologyVersion=TopologyVersion{processId=6a03305d7da1f7a3327d5183, counter=3}, lastWriteDate=Sun May 17 15:22:37 IST 2026, lastUpdateTimeNanos=146744865084700}
26-05-17 15:22:36.444 [cluster-ClusterId{value='6a098fe2ae311581d077e162', description='null'}-ac-maior3p-shard-00-00.sxgtw1y.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-maior3p-shard-00-00.sxgtw1y.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=682080500, minRoundTripTimeNanos=0, setName='atlas-hlrcmd-shard-0', canonicalAddress=ac-maior3p-shard-00-00.sxgtw1y.mongodb.net:27017, hosts=[ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017, ac-maior3p-shard-00-02.sxgtw1y.mongodb.net:27017, ac-maior3p-shard-00-00.sxgtw1y.mongodb.net:27017], passives=[], arbiters=[], primary='ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=32, topologyVersion=TopologyVersion{processId=6a032b56db4abd8085c2bca8, counter=4}, lastWriteDate=Sun May 17 15:22:37 IST 2026, lastUpdateTimeNanos=146744865109400}
26-05-17 15:22:36.453 [cluster-ClusterId{value='6a098fe2ae311581d077e162', description='null'}-ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017 with max election id 7fffffff0000000000000063 and max set version 32
26-05-17 15:22:37.712 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
26-05-17 15:22:39.123 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
26-05-17 15:22:39.178 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
26-05-17 15:22:39.204 [main] INFO  c.t.f.F1JournalAppApplication - Started F1JournalAppApplication in 12.94 seconds (process running for 15.728)
26-05-17 15:24:25.233 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
26-05-17 15:24:25.441 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
26-05-17 15:24:35.478 [main] INFO  c.t.f.F1JournalAppApplication - Starting F1JournalAppApplication using Java 17.0.16 with PID 9816 (D:\1 Local Disk  E\java Spring Core & SpringBoot\s2_Spring Boot\f1_journalApp\target\classes started by Admin in D:\1 Local Disk  E\java Spring Core & SpringBoot\s2_Spring Boot\f1_journalApp)
26-05-17 15:24:35.484 [main] DEBUG c.t.f.F1JournalAppApplication - Running with Spring Boot v3.5.13, Spring v6.2.17
26-05-17 15:24:35.487 [main] INFO  c.t.f.F1JournalAppApplication - The following 1 profile is active: "dev"
26-05-17 15:24:37.644 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
26-05-17 15:24:37.864 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 202 ms. Found 2 MongoDB repository interfaces.
26-05-17 15:24:39.624 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
26-05-17 15:24:39.658 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
26-05-17 15:24:39.665 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
26-05-17 15:24:39.667 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.53]
26-05-17 15:24:39.947 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
26-05-17 15:24:39.948 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4312 ms
26-05-17 15:24:40.663 [cluster-ClusterId{value='6a099060f96c5dac550cd2d4', description='null'}-srv-cluster0.sxgtw1y.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-maior3p-shard-00-00.sxgtw1y.mongodb.net:27017 to client view of cluster
26-05-17 15:24:40.680 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.2"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Microsoft/17.0.16+8-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='bhushanDB', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@1595d2b2, com.mongodb.Jep395RecordCodecProvider@20349058, com.mongodb.KotlinCodecProvider@6cbb7a7d]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.sxgtw1y.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-hlrcmd-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
26-05-17 15:24:40.790 [cluster-ClusterId{value='6a099060f96c5dac550cd2d4', description='null'}-srv-cluster0.sxgtw1y.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017 to client view of cluster
26-05-17 15:24:40.811 [cluster-ClusterId{value='6a099060f96c5dac550cd2d4', description='null'}-srv-cluster0.sxgtw1y.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-maior3p-shard-00-02.sxgtw1y.mongodb.net:27017 to client view of cluster
26-05-17 15:24:41.840 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29981 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-maior3p-shard-00-00.sxgtw1y.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-maior3p-shard-00-02.sxgtw1y.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
26-05-17 15:24:42.256 [cluster-ClusterId{value='6a099060f96c5dac550cd2d4', description='null'}-ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=610905700, minRoundTripTimeNanos=0, setName='atlas-hlrcmd-shard-0', canonicalAddress=ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017, hosts=[ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017, ac-maior3p-shard-00-02.sxgtw1y.mongodb.net:27017, ac-maior3p-shard-00-00.sxgtw1y.mongodb.net:27017], passives=[], arbiters=[], primary='ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000063, setVersion=32, topologyVersion=TopologyVersion{processId=6a032de6c43fdd1c04e3f96e, counter=6}, lastWriteDate=Sun May 17 15:24:43 IST 2026, lastUpdateTimeNanos=146870678829500}
26-05-17 15:24:42.256 [cluster-ClusterId{value='6a099060f96c5dac550cd2d4', description='null'}-ac-maior3p-shard-00-00.sxgtw1y.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-maior3p-shard-00-00.sxgtw1y.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=626169200, minRoundTripTimeNanos=0, setName='atlas-hlrcmd-shard-0', canonicalAddress=ac-maior3p-shard-00-00.sxgtw1y.mongodb.net:27017, hosts=[ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017, ac-maior3p-shard-00-02.sxgtw1y.mongodb.net:27017, ac-maior3p-shard-00-00.sxgtw1y.mongodb.net:27017], passives=[], arbiters=[], primary='ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=32, topologyVersion=TopologyVersion{processId=6a032b56db4abd8085c2bca8, counter=4}, lastWriteDate=Sun May 17 15:24:43 IST 2026, lastUpdateTimeNanos=146870679050300}
26-05-17 15:24:42.258 [cluster-ClusterId{value='6a099060f96c5dac550cd2d4', description='null'}-ac-maior3p-shard-00-02.sxgtw1y.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-maior3p-shard-00-02.sxgtw1y.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=626247600, minRoundTripTimeNanos=0, setName='atlas-hlrcmd-shard-0', canonicalAddress=ac-maior3p-shard-00-02.sxgtw1y.mongodb.net:27017, hosts=[ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017, ac-maior3p-shard-00-02.sxgtw1y.mongodb.net:27017, ac-maior3p-shard-00-00.sxgtw1y.mongodb.net:27017], passives=[], arbiters=[], primary='ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=32, topologyVersion=TopologyVersion{processId=6a03305d7da1f7a3327d5183, counter=3}, lastWriteDate=Sun May 17 15:24:43 IST 2026, lastUpdateTimeNanos=146870678907900}
26-05-17 15:24:42.268 [cluster-ClusterId{value='6a099060f96c5dac550cd2d4', description='null'}-ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-maior3p-shard-00-01.sxgtw1y.mongodb.net:27017 with max election id 7fffffff0000000000000063 and max set version 32
26-05-17 15:24:44.262 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
26-05-17 15:24:46.010 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
26-05-17 15:24:46.065 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
26-05-17 15:24:46.091 [main] INFO  c.t.f.F1JournalAppApplication - Started F1JournalAppApplication in 12.278 seconds (process running for 15.036)
26-05-17 15:26:15.942 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
26-05-17 15:26:16.197 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
